Time,Epochs,Samples,Obj,GradMap
0.12312197685241699,0,0,4.110718208864708,0.1756888651136528
0.2573976516723633,2,99498,4.076669556824045,0.1800732632936621
0.36446595191955566,4,198996,4.040863340467151,0.18478769547571794
0.46027588844299316,6,298494,4.003115265586672,0.1898713366083819
0.5506057739257812,8,397992,3.9632127040908673,0.19536923578516663
0.6507678031921387,10,497490,3.9209091892094223,0.20133312812969045
0.7465789318084717,12,596988,3.8759177765309616,0.20782219200565638
0.8332459926605225,14,696486,3.82790346085628,0.21490359506943596
0.9237277507781982,16,795984,3.7764741836410525,0.22265258108645683
1.013355016708374,18,895482,3.721168936677214,0.23115175126332574
1.0899028778076172,20,994980,3.661444665581538,0.24048909954617886
1.1749358177185059,22,1094478,3.5966648096990195,0.2507542553679154
1.251248836517334,24,1193976,3.526086797570981,0.2620322204959509
1.3241260051727295,26,1293474,3.4488493867641203,0.27439356846436735
1.3915059566497803,28,1392972,3.363971252820908,0.2878795985914513
1.480301856994629,30,1492470,3.270355582683396,0.30248063521608126
1.5574829578399658,32,1591968,3.166814723181661,0.31810967688515024
1.642432689666748,34,1691466,3.0521271002054253,0.33458203746442244
1.735259771347046,36,1790964,2.9251199743061367,0.3516190067083012
1.8137867450714111,38,1890462,2.7847087801502326,0.36886253392555923
1.88661789894104,40,1989960,2.6298078725828313,0.38583142833848283
1.9787206649780273,42,2089458,2.45996863909411,0.40179298488835163
2.0667128562927246,44,2188956,2.2755781707775973,0.4156602296572397
2.1383728981018066,46,2288454,2.0781497913498317,0.4259836674118907
2.2311718463897705,48,2387952,1.870772007160744,0.4310607701784066
2.3118388652801514,50,2487450,1.658342026287288,0.42924289673703114
2.385368824005127,52,2586948,1.4473451926254994,0.41942708717279037
2.4641826152801514,54,2686446,1.2452952992447193,0.38317637490749196
2.5515658855438232,56,2785944,1.0721725443522607,0.3499539013043896
2.6307778358459473,58,2885442,0.9271051792580134,0.30244971074388544
2.7222297191619873,60,2984940,0.8149270551173446,0.26569971976125856
2.794050693511963,62,3084438,0.7268079289626224,0.23388725956717799
2.867281913757324,64,3183936,0.6570828501435215,0.20669845505525358
2.938492774963379,66,3283434,0.6013862305730082,0.18361245114664043
3.018411636352539,68,3382932,0.5564032933172913,0.1640532538206247
3.1152379512786865,70,3482430,0.5196454077929712,0.1474745760582174
3.197399854660034,72,3581928,0.4892597182505225,0.13339521636454613
3.28379487991333,74,3681426,0.463857895641961,0.12140552398912453
3.355292797088623,76,3780924,0.4423946244384698,0.1111631823260534
3.4274239540100098,78,3880422,0.42407678664071713,0.10238455063600162
3.507819652557373,80,3979920,0.4082998023413219,0.09483542816729833
3.5901858806610107,82,4079418,0.39459629693099785,0.08832231844720012
3.6654257774353027,84,4178916,0.38260024854736274,0.08268508216901313
3.7537927627563477,86,4278414,0.3720212507512667,0.0777908199940716
3.8269529342651367,88,4377912,0.36262911956803134,0.07352892995484098
3.902061700820923,90,4477410,0.3542395877686018,0.06980699573474096
3.9789748191833496,92,4576908,0.3467033139262433,0.06654747058784168
4.0616607666015625,94,4676406,0.3398981161409329,0.06368501923466137
4.150598764419556,96,4775904,0.33372328785842986,0.06116438123562858
4.241574764251709,98,4875402,0.32809498053394837,0.05893863744825063
4.321400880813599,100,4974900,0.3229431213216596,0.05696782296122914
